"...1","id","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","accommodates","bedrooms","beds","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_60","availability_365","number_of_reviews","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","n_days_last_review","n_character_in_desription","n_days_host_since","n_characters_in_host_about","n_host_verifications","classes_property_type","bathrooms_type","bathroom_number","n_amenities","amenities_Wifi","amenities_Backyard","amenities_TV","amenities_Washer","amenities_Dishwasher","amenities_AC","amenities_Breakfast","price_new","price_per_accomate","lasso_rating"
6626,17371795,90,79,0,1,1,1,"Brooklyn",1,1,1,30,1125,1,0,0,5,4.4,4.2,4.6,4.8,4.8,4,1,0.1,1652,744,1686,91,8,2,2,1,12,1,0,0,0,0,1,0,90,90,-0.981361712392201
6627,17380887,100,50,1,2,1,1,"Brooklyn",2,1,1,3,1125,1,0,146,65,4.86,4.88,4.86,4.84,4.81,4.75,2,1.3,692,1000,2347,852,6,2,2,1,26,1,0,1,0,0,1,0,88,44,0.341287457040013
6628,17382091,100,100,1,3,1,0,"Queens",8,3,4,4,1125,1,21,322,11,4.82,4.82,4.91,5,4.55,4.73,3,0.27,642,375,1787,0,3,3,2,1.5,17,1,0,1,0,0,1,0,309,38.625,0.0517262891402518
6629,17383253,99,84,0,32,1,1,"Manhattan",4,2,2,30,365,1,0,245,10,4.8,4.7,4.9,5,4.7,4.4,32,0.33,160,1000,2919,344,5,3,2,1,32,1,0,1,1,0,1,0,155,38.75,-0.153832713730391
6630,17383677,84,31,0,6,1,1,"Staten Island",5,2,3,30,1125,1,34,338,136,4.88,4.82,4.92,4.9,4.77,4.77,8,2.6,76,1000,1686,0,8,3,2,1,32,1,1,1,0,0,1,0,84,16.8,0.152252384101389
6631,17385564,90,79,1,2,1,1,"Queens",1,1,1,30,30,1,0,0,31,4.97,4.93,5,5,4.83,4.87,2,0.6,560,1000,2253,584,5,2,1,1,23,1,0,0,0,0,1,0,47,47,0.804083911095437
6632,17396669,100,79,1,1,1,1,"Brooklyn",2,1,1,30,31,1,33,63,55,4.96,4.8,4.96,4.89,4.64,4.85,1,1.34,768,1000,2112,619,8,2,1,1,30,1,0,1,0,0,0,1,53,26.5,0.566196942414404
6633,17398122,90,79,0,1,1,1,"Manhattan",2,1,1,30,1125,1,59,179,23,4.95,4.91,5,5,4.68,4.86,1,0.44,1312,881,1687,494,6,3,2,1,14,1,0,1,0,0,1,0,500,250,0.286249891396625
6634,17400624,100,100,0,1,1,1,"Manhattan",2,1,1,3,1125,1,1,1,50,4.88,4.67,4.98,4.98,4.98,4.92,1,0.95,80,1000,2600,0,8,3,2,1,24,1,0,1,0,0,1,0,115,57.5,0.325168587132979
6635,17405699,90,79,0,1,1,1,"Manhattan",2,1,1,7,45,1,0,0,4,5,5,5,5,5,5,1,0.17,771,999,1685,165,7,3,2,1,13,1,0,1,0,0,1,1,145,72.5,0.810500749956281
6636,17411672,100,50,0,1,1,0,"Brooklyn",3,1,3,2,14,1,21,326,15,4.6,4.33,4.93,4.8,4.73,4.33,1,0.53,93,318,1684,0,1,3,2,1,16,0,0,1,0,0,0,0,98,32.6666666666667,-0.789526827873864
6637,17415890,90,79,0,1,1,1,"Brooklyn",2,1,1,30,60,1,0,0,7,5,5,4.33,4.5,5,4.5,1,0.14,1221,999,2905,186,4,3,2,1,30,1,0,1,1,1,1,0,200,100,0.16770788017623
6638,17418006,100,100,1,1,1,1,"Queens",4,2,2,3,1125,1,25,284,83,4.94,4.98,4.99,4.98,4.74,4.89,1,1.75,71,1000,1728,0,9,3,2,1,46,1,0,1,0,1,0,0,215,53.75,0.448709368244869
6639,17418177,50,75,0,3,1,1,"Brooklyn",6,2,6,2.3,14,1,2,307,37,4.67,4.64,4.55,4.7,4.64,4.58,3,1.2,706,975,1845,528,6,3,2,3,16,1,0,0,0,0,1,0,199,33.1666666666667,-0.564661670142754
6640,17419342,100,86,1,8,1,1,"Manhattan",2,1,3,2,120,1,58,363,18,5,4.89,4.94,4.89,4.94,4.88,8,0.35,722,999,3650,551,3,2,2,1.5,50,1,0,1,0,1,1,1,202,101,0.4848735995576
6641,17420370,90,100,0,2,1,1,"Brooklyn",2,1,1,28,1125,1,0,0,8,4.88,4.75,4.63,4.88,4.88,4.88,2,0.28,890,675,1946,0,6,2,2,1,21,1,0,1,0,0,1,0,45,22.5,0.277336970779366
